system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,.geo
2017_05_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2017-05,30.150000000000034,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2017_05_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2017-05,47.49000000000001,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2017_05_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2017-05,25.510000000000048,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2017_05_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2017-05,33.57000000000005,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2017_05_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2017-05,19.370000000000005,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2017_05_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2017-05,30.250000000000057,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2017_05_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2017-05,32.870000000000005,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2017_06_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2017-06,37.370000000000005,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2017_06_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2017-06,33.150000000000034,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2017_06_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2017-06,42.57000000000005,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2017_06_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2017-06,35.63000000000005,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2017_06_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2017-06,32.110000000000014,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2017_06_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2017-06,32.610000000000014,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2017_06_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2017-06,37.79000000000002,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2017_06_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2017-06,31.470000000000027,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2017_06_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2017-06,40.190000000000055,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2017_06_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2017-06,27.390000000000043,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2017_06_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2017-06,41.27000000000004,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2017_06_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2017-06,34.75000000000006,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2017_06_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2017-06,27.230000000000018,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2017_06_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2017-06,25.970000000000027,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2017_06_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2017-06,39.150000000000034,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2017_06_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2017-06,32.39000000000004,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2017_06_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2017-06,45.410000000000025,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2017_06_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2017-06,36.39000000000004,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2017_06_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2017-06,32.05000000000001,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2017_06_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2017-06,50.170000000000016,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2017_06_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2017-06,25.77000000000004,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2017_06_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2017-06,34.370000000000005,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2017_06_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2017-06,25.03000000000003,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2017_06_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2017-06,34.150000000000034,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2017_06_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2017-06,33.83000000000004,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2017_07_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2017-07,40.99000000000001,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2017_07_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2017-07,35.910000000000025,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2017_07_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2017-07,42.410000000000025,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2017_07_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2017-07,38.210000000000036,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2017_07_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2017-07,35.25000000000006,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2017_07_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2017-07,36.710000000000036,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2017_07_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2017-07,39.63000000000005,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2017_07_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2017-07,34.370000000000005,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2017_07_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2017-07,43.07000000000005,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2017_07_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2017-07,30.57000000000005,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2017_07_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2017-07,41.73000000000002,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2017_07_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2017-07,37.410000000000025,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2017_07_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2017-07,30.930000000000007,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2017_07_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2017-07,29.810000000000002,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2017_07_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2017-07,41.910000000000025,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2017_07_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2017-07,34.51000000000005,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2017_07_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2017-07,47.33000000000004,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2017_07_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2017-07,35.79000000000002,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2017_07_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2017-07,35.09000000000003,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2017_07_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2017-07,53.57000000000005,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2017_07_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2017-07,28.850000000000023,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2017_07_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2017-07,35.29000000000002,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2017_07_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2017-07,28.970000000000027,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2017_07_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2017-07,33.610000000000014,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2017_07_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2017-07,33.83000000000004,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2017_08_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2017-08,40.75000000000006,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2017_08_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2017-08,36.03000000000003,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2017_08_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2017-08,43.81,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2017_08_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2017-08,37.07000000000005,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2017_08_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2017-08,35.97000000000003,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2017_08_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2017-08,36.55000000000001,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2017_08_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2017-08,39.51000000000005,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2017_08_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2017-08,37.59000000000003,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2017_08_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2017-08,43.13000000000005,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2017_08_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2017-08,29.33000000000004,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2017_08_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2017-08,41.53000000000003,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2017_08_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2017-08,41.13000000000005,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2017_08_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2017-08,30.83000000000004,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2017_08_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2017-08,30.79000000000002,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2017_08_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2017-08,41.51000000000005,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2017_08_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2017-08,36.05000000000001,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2017_08_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2017-08,47.27000000000004,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2017_08_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2017-08,39.370000000000005,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2017_08_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2017-08,37.710000000000036,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2017_08_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2017-08,52.75000000000006,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2017_08_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2017-08,30.410000000000025,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2017_08_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2017-08,38.83000000000004,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
2017_08_01_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2017-08,29.850000000000023,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
2017_08_01_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2017-08,37.07000000000005,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
2017_08_01_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2017-08,37.35000000000002,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
2017_09_01_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2017-09,37.01000000000005,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
2017_09_01_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2017-09,34.31,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
2017_09_01_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2017-09,37.97000000000003,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
2017_09_01_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2017-09,33.63000000000005,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
2017_09_01_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2017-09,32.05000000000001,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
2017_09_01_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2017-09,32.25000000000006,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
2017_09_01_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2017-09,35.35000000000002,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
2017_09_01_00000000000000000007,Mazandaran,23.7,99309,36.479,52.468,Amol,2017-09,33.13000000000005,"{""type"":""Point"",""coordinates"":[52.46799916806776,36.479000520726885]}"
2017_09_01_00000000000000000008,Mazandaran,1550.0,99348,36.39,51.729,Kojur,2017-09,37.25000000000006,"{""type"":""Point"",""coordinates"":[51.729001268682296,36.390001322801155]}"
2017_09_01_00000000000000000009,Mazandaran,610.0,99360,36.104,53.062,Polsefid,2017-09,27.57000000000005,"{""type"":""Point"",""coordinates"":[53.06200047849835,36.103999040334195]}"
2017_09_01_0000000000000000000a,Mazandaran,1855.4,40735,36.231,51.303,Siahbisheh,2017-09,37.610000000000014,"{""type"":""Point"",""coordinates"":[51.303001049541336,36.23099869743738]}"
2017_09_01_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2017-09,36.55000000000001,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
2017_09_01_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2017-09,29.610000000000014,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
2017_09_01_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2017-09,28.970000000000027,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
2017_09_01_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2017-09,38.73000000000002,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
2017_09_01_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2017-09,32.85000000000002,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
2017_09_01_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2017-09,43.690000000000055,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
2017_09_01_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2017-09,36.97000000000003,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
2017_09_01_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2017-09,31.750000000000057,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
2017_09_01_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2017-09,47.55000000000001,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
2017_09_01_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2017-09,27.650000000000034,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
2017_09_01_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2017-09,35.170000000000016,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
